ReactionID	ReactionType	CatalystCoreDetail	CatalystCoreGeneric	Ligand	ReagentRaw	ReagentRole	Base	Solvent	Temperature_C	Time_h	Yield_%	ReactantSMILES	ProductSMILES	Reference	CondKey	CondSig	FamSig	RawCAS	RCTName	PROName	RGTName	CATName	SOLName	BASName
31-006-CAS-23498989	Buchwald	"[""Palladium diacetate""]"	"[""Pd""]"	"[""[2′"", ""6′-Bis(1-methylethoxy)[1"", ""1′-biphenyl]-2-yl]dicyclohexylphosphine""]"	"[""865-48-5"", ""12125-02-9"", ""7647-01-0"", ""1310-73-2"", ""Sodium tert-butoxide"", ""Ammonium chloride"", ""Hydrochloric acid"", ""Sodium hydroxide""]"	"[""BASE"", ""WORKUP""]"	"[""Sodium tert-butoxide"", ""Sodium hydroxide""]"	"[""108-88-3"", ""7732-18-5"", ""67-64-1"", ""141-78-6"", ""Toluene"", ""Water"", ""Acetone"", ""Ethyl acetate""]"	110.0	20.25	64	C1CC2(CCN1)OCCO2 . Clc1ccc2sccc2c1	O=C1CCN(c2ccc3sccc3c2)CC1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/1′-biphenyl]-2-yl]dicyclohexylphosphine+6′-Bis(1-methylethoxy)[1+[2′/12125-02-9+1310-73-2+7647-01-0+865-48-5+Ammonium chloride+Hydrochloric acid+Sodium hydroxide+Sodium tert-butoxide/108-88-3+141-78-6+67-64-1+7732-18-5+Acetone+Ethyl acetate+Toluene+Water			RCT: 1020818-00-1 + 1993453-10-3 | PRO: 3021587-15-2 | RGT: 865-48-5 + 12125-02-9 + 7647-01-0 + 1310-73-2 | CAT: 3375-31-3 + 787618-22-8 | SOL: 108-88-3 + 7732-18-5 + 67-64-1 + 141-78-6	"[""1020818-00-1"", ""1993453-10-3""]"	"[""3021587-15-2""]"	"[""865-48-5"", ""12125-02-9"", ""7647-01-0"", ""1310-73-2""]"	"[""3375-31-3"", ""787618-22-8""]"	"[""108-88-3"", ""7732-18-5"", ""67-64-1"", ""141-78-6""]"	"[""Sodium tert-butoxide"", ""Sodium hydroxide""]"
31-172-CAS-23065394	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	105.0		94	CC1(C)c2ccccc2Nc2ccccc21 . CCCCCCCCc1ccc(Br)cc1	CCCCCCCCc1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 2848653-16-5 | PRO: 2851430-37-8 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3	"[""2848653-16-5""]"	"[""2851430-37-8""]"	"[""865-48-5""]"	"[""51364-51-3"", ""131274-22-1""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23070673	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	105.0		100	CCCCCCCCc1ccc(Br)cc1 . COc1ccc2c(c1)C(C)(C)c1cc(OC)ccc1N2	CCCCCCCCc1ccc(N2c3ccc(OC)cc3C(C)(C)c3cc(OC)ccc32)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 2566779-53-9 + 2769113-46-2 | PRO: 2769113-70-2 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3	"[""2566779-53-9"", ""2769113-46-2""]"	"[""2769113-70-2""]"	"[""865-48-5""]"	"[""51364-51-3"", ""131274-22-1""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23084207	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""X-Phos""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	105.0	107364.0	61	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2 . Ic1ccc(-c2cc(-c3ccccc3)c3ccccc3n2)cc1	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1ccc(-c2cc(-c3ccccc3)c3ccccc3n2)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 40138-16-7 + 1019852-40-4 + 19501-58-7 | PRO: 3007813-46-6 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"[""40138-16-7"", ""1019852-40-4"", ""19501-58-7""]"	"[""3007813-46-6""]"	"[""865-48-5""]"	"[""51364-51-3"", ""564483-18-7""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23085870	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""X-Phos""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	105.0	12.0	59	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2 . Ic1cccc(-c2cc(-c3ccccc3)c3ccccc3n2)c1	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1cccc(-c2cc(-c3ccccc3)c3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 5051-97-8 + 2655519-36-9 | PRO: 2810778-57-3 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"[""5051-97-8"", ""2655519-36-9""]"	"[""2810778-57-3""]"	"[""865-48-5""]"	"[""51364-51-3"", ""564483-18-7""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23089247	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""Pd""]"	"[""X-Phos""]"	"[""865-48-5"", ""Sodium tert-butoxide""]"	"[""BASE""]"	"[""Sodium tert-butoxide""]"	"[""108-88-3"", ""Toluene""]"	105.0	12.0	54	Clc1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1 . CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos/865-48-5+Sodium tert-butoxide/108-88-3+Toluene			RCT: 5905-36-2 + 2678535-66-3 | PRO: 2781067-62-5 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"[""5905-36-2"", ""2678535-66-3""]"	"[""2781067-62-5""]"	"[""865-48-5""]"	"[""51364-51-3"", ""564483-18-7""]"	"[""108-88-3""]"	"[""Sodium tert-butoxide""]"
31-172-CAS-23125330	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	64	NNc1ccccc1 . BrCc1ccccc1Br	c1ccc(-n2cc3ccccc3n2)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 459-59-6 + 2604236-39-5 | PRO: 2604236-53-3 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""459-59-6"", ""2604236-39-5""]"	"[""2604236-53-3""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23125952	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	68	NNc1ccc(F)cc1 . BrCc1ccccc1Br	Fc1ccc(-n2cc3ccccc3n2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 1126-09-6 + 31575-75-4 | PRO: 2941328-13-6 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""1126-09-6"", ""31575-75-4""]"	"[""2941328-13-6""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23126928	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	50	NNc1cccc(F)c1 . BrCc1ccccc1Br	Fc1cccc(-n2cc3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 74572-04-6 + 3038299-18-9 | PRO: 2770104-92-0 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""74572-04-6"", ""3038299-18-9""]"	"[""2770104-92-0""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
31-172-CAS-23127102	Buchwald	"[""Palladium chloride""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate""]"	"[""534-17-8"", ""7782-44-7"", ""Cesium carbonate"", ""Oxygen""]"	"[""BASE"", ""OX""]"	"[""Cesium carbonate""]"	"[""67-68-5"", ""Dimethyl sulfoxide""]"	120.0	24.0	62	Cc1cccc(NN)c1 . BrCc1ccccc1Br	Cc1cccc(-n2cc3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate/534-17-8+7782-44-7+Cesium carbonate+Oxygen/67-68-5+Dimethyl sulfoxide			RCT: 124-40-3 + 3080715-69-8 | PRO: 3080715-72-3 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"[""124-40-3"", ""3080715-69-8""]"	"[""3080715-72-3""]"	"[""534-17-8"", ""7782-44-7""]"	"[""7647-10-1"", ""131274-22-1""]"	"[""67-68-5""]"	"[""Cesium carbonate""]"
