ReactionID	ReactionType	CatalystCoreDetail	CatalystCoreGeneric	Ligand	Reagent	ReagentRole	Solvent	Temperature_C	Time_h	Yield_%	ReactantSMILES	ProductSMILES	Reference	CondKey	CondSig	FamSig	RawCAS	RawData	RCTName	PROName	RGTName	CATName	SOLName
31-006-CAS-23498989	Buchwald	"[""Palladium diacetate|3375-31-3""]"	"[""Pd""]"	"[""[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine|787618-22-8""]"	"[""Sodium tert-butoxide|865-48-5"", ""Ammonium chloride|12125-02-9"", ""Hydrochloric acid|7647-01-0"", ""Sodium hydroxide|1310-73-2""]"	"[""BASE"", ""WORKUP""]"	"[""Toluene|108-88-3"", ""Water|7732-18-5"", ""Acetone|67-64-1"", ""Ethyl acetate|141-78-6""]"	110.0	20.25	64	C1CC2(CCN1)OCCO2 . Clc1ccc2sccc2c1	O=C1CCN(c2ccc3sccc3c2)CC1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine|787618-22-8/Ammonium chloride|12125-02-9+Hydrochloric acid|7647-01-0+Sodium hydroxide|1310-73-2+Sodium tert-butoxide|865-48-5/Acetone|67-64-1+Ethyl acetate|141-78-6+Toluene|108-88-3+Water|7732-18-5			RCT: 1020818-00-1 + 1993453-10-3 | PRO: 3021587-15-2 | RGT: 865-48-5 + 12125-02-9 + 7647-01-0 + 1310-73-2 | CAT: 3375-31-3 + 787618-22-8 | SOL: 108-88-3 + 7732-18-5 + 67-64-1 + 141-78-6	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Sodium tert-butoxide"", ""Ammonium chloride"", ""Hydrochloric acid"", ""Sodium hydroxide""], ""catalysts"": [""Palladium diacetate"", ""[2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine""], ""solvents"": [""Toluene"", ""Water"", ""Acetone"", ""Ethyl acetate""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-006-CAS-23498989"", ""1.1"", ""Catalysts: Palladium diacetate, [2′,6′-Bis(1-methylethoxy)[1,1′-biphenyl]-2-yl]dicyclohexylphosphine"", ""Solvents: Toluene; 10 min, rt"", ""1.2"", ""Reagents: Sodium tert-butoxide; 4 h, 110 °C; 110 °C → rt"", ""1.3"", ""Reagents: Ammonium chloride"", ""Solvents: Water; rt"", ""1.4"", ""Reagents: Hydrochloric acid"", ""Solvents: Acetone, Water; 16 h, 45 °C; 45 °C → rt"", ""1.5"", ""Reagents: Sodium hydroxide"", ""Solvents: Ethyl acetate, Water; 5 min, rt"", ""32. Scheme 32 (1 Reaction)"", ""Synthesis of medium-sized heterocycles from oxetanes based on an allylic amination/ring-opening strategy"", ""By: Li, Jixing; et al"", ""Chemical Communications (Cambridge, United Kingdom) (2023), 59(97), 14467-14470."", ""10.1039/d3cc04355j"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""1020818-00-1"", ""1993453-10-3""], ""pro_cas"": [""3021587-15-2""], ""rgt_cas"": [""865-48-5"", ""12125-02-9"", ""7647-01-0"", ""1310-73-2""], ""cat_cas"": [""3375-31-3"", ""787618-22-8""], ""sol_cas"": [""108-88-3"", ""7732-18-5"", ""67-64-1"", ""141-78-6""], ""notes"": [""reaction in a sealed flask""]}}"	"[""1020818-00-1"", ""1993453-10-3""]"	"[""3021587-15-2""]"	"[""865-48-5"", ""12125-02-9"", ""7647-01-0"", ""1310-73-2""]"	"[""Palladium diacetate""]"	"[""108-88-3"", ""7732-18-5"", ""67-64-1"", ""141-78-6""]"
31-172-CAS-23065394	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Sodium tert-butoxide|865-48-5""]"	"[""BASE""]"	"[""Toluene|108-88-3""]"	105.0		94	CC1(C)c2ccccc2Nc2ccccc21 . CCCCCCCCc1ccc(Br)cc1	CCCCCCCCc1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3			RCT: 2848653-16-5 | PRO: 2851430-37-8 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3	"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23065394"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 105 °C"", ""99. Scheme 99 (1 Reaction)"", ""Double bond geometry shown"", ""Enantioselective Synthesis of N-N Bisindole Atropisomers"", ""By: Zhang, Peng; et al"", ""Angewandte Chemie, International Edition (2022), 61(44), e202212101."", ""10.1002/anie.202212101"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2848653-16-5""], ""pro_cas"": [""2851430-37-8""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}"	"[""2848653-16-5""]"	"[""2851430-37-8""]"	"[""865-48-5""]"	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""108-88-3""]"
31-172-CAS-23070673	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Sodium tert-butoxide|865-48-5""]"	"[""BASE""]"	"[""Toluene|108-88-3""]"	105.0		100	CCCCCCCCc1ccc(Br)cc1 . COc1ccc2c(c1)C(C)(C)c1cc(OC)ccc1N2	CCCCCCCCc1ccc(N2c3ccc(OC)cc3C(C)(C)c3cc(OC)ccc32)cc1	Angewandte Chemie, International Edition (2021), 60(5), 2455-2463. | Liu, Xinrui; et al | Angewandte Chemie, International Edition (2021), 60(5), 2455-2463.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Sodium tert-butoxide|865-48-5/Toluene|108-88-3			RCT: 2566779-53-9 + 2769113-46-2 | PRO: 2769113-70-2 | RGT: 865-48-5 | CAT: 51364-51-3 + 131274-22-1 | SOL: 108-88-3	"{""txt"": {""title"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""authors"": ""Liu, Xinrui; et al"", ""citation"": ""Angewandte Chemie, International Edition (2021), 60(5), 2455-2463."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23070673"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Toluene; 105 °C"", ""2. Scheme 2 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Discovery of MK-1468: A Potent, Kinome-Selective, Brain-Penetrant Amidoisoquinoline LRRK2 Inhibitor for the Potential Treatment of Parkinson’s Disease"", ""By: Kattar, Solomon D.; et al"", ""Journal of Medicinal Chemistry (2023), 66(21), 14912-14927."", ""10.1021/acs.jmedchem.3c01486"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""2566779-53-9"", ""2769113-46-2""], ""pro_cas"": [""2769113-70-2""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""131274-22-1""], ""sol_cas"": [""108-88-3""], ""notes"": []}}"	"[""2566779-53-9"", ""2769113-46-2""]"	"[""2769113-70-2""]"	"[""865-48-5""]"	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""108-88-3""]"
31-172-CAS-23084207	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]"	"[""Pd""]"	"[""X-Phos|564483-18-7""]"	"[""Sodium tert-butoxide|865-48-5""]"	"[""BASE""]"	"[""Toluene|108-88-3""]"	105.0	107364.0	61	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2 . Ic1ccc(-c2cc(-c3ccccc3)c3ccccc3n2)cc1	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1ccc(-c2cc(-c3ccccc3)c3ccccc3n2)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos|564483-18-7/Sodium tert-butoxide|865-48-5/Toluene|108-88-3			RCT: 40138-16-7 + 1019852-40-4 + 19501-58-7 | PRO: 3007813-46-6 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""X-Phos""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23084207"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, X-Phos"", ""Solvents: Toluene; 12 h, 105 °C"", ""129. Scheme 129 (1 Reaction)"", ""Double bond geometry shown"", ""Transition metal-free and temperature dependent one-pot access to phenanthrene-fused heterocycles via a 1,3-dipolar cycloaddition pathway"", ""By: Reddy, Mokilla Ramachandra; et al"", ""Chemical Communications (Cambridge, United Kingdom) (2023), 59(92), 13755-13758."", ""10.1039/d3cc04473d"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""40138-16-7"", ""1019852-40-4"", ""19501-58-7""], ""pro_cas"": [""3007813-46-6""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""564483-18-7""], ""sol_cas"": [""108-88-3""], ""notes"": [""Buchwald-Hartwig coupling""]}}"	"[""40138-16-7"", ""1019852-40-4"", ""19501-58-7""]"	"[""3007813-46-6""]"	"[""865-48-5""]"	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""108-88-3""]"
31-172-CAS-23085870	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]"	"[""Pd""]"	"[""X-Phos|564483-18-7""]"	"[""Sodium tert-butoxide|865-48-5""]"	"[""BASE""]"	"[""Toluene|108-88-3""]"	105.0	12.0	59	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2 . Ic1cccc(-c2cc(-c3ccccc3)c3ccccc3n2)c1	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1cccc(-c2cc(-c3ccccc3)c3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos|564483-18-7/Sodium tert-butoxide|865-48-5/Toluene|108-88-3			RCT: 5051-97-8 + 2655519-36-9 | PRO: 2810778-57-3 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""X-Phos""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23085870"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, X-Phos"", ""Solvents: Toluene; 12 h, 105 °C"", ""164. Scheme 164 (1 Reaction)"", ""B,N-doped PAHs from tridentate ‘Defects’ - a bottom-up convergent approach for π-extended systems"", ""By: Farinone, Marco; et al"", ""Chemical Communications (Cambridge, United Kingdom) (2022), 58(52), 7269-7272."", ""10.1039/d2cc01801b"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""5051-97-8"", ""2655519-36-9""], ""pro_cas"": [""2810778-57-3""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""564483-18-7""], ""sol_cas"": [""108-88-3""], ""notes"": [""Buchwald-Hartwig coupling""]}}"	"[""5051-97-8"", ""2655519-36-9""]"	"[""2810778-57-3""]"	"[""865-48-5""]"	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""108-88-3""]"
31-172-CAS-23089247	Buchwald	"[""Tris(dibenzylideneacetone)dipalladium|51364-51-3""]"	"[""Pd""]"	"[""X-Phos|564483-18-7""]"	"[""Sodium tert-butoxide|865-48-5""]"	"[""BASE""]"	"[""Toluene|108-88-3""]"	105.0	12.0	54	Clc1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1 . CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2	CC(C)(C)c1ccc2c(c1)Sc1cc(C(C)(C)C)ccc1N2c1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/X-Phos|564483-18-7/Sodium tert-butoxide|865-48-5/Toluene|108-88-3			RCT: 5905-36-2 + 2678535-66-3 | PRO: 2781067-62-5 | RGT: 865-48-5 | CAT: 51364-51-3 + 564483-18-7 | SOL: 108-88-3	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Sodium tert-butoxide""], ""catalysts"": [""Tris(dibenzylideneacetone)dipalladium"", ""X-Phos""], ""solvents"": [""Toluene""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23089247"", ""1.1"", ""Reagents: Sodium tert-butoxide"", ""Catalysts: Tris(dibenzylideneacetone)dipalladium, X-Phos"", ""Solvents: Toluene; 12 h, 105 °C"", ""264. Scheme 264 (1 Reaction)"", ""Carbazole-Decorated Organoboron Emitters with Low-Lying HOMO Levels for Solution-Processed Narrowband Blue Hyperfluorescence OLED Devices"", ""By: Zhang, Kaiyuan; et al"", ""Angewandte Chemie, International Edition (2023), 62(47), e202313084."", ""10.1002/anie.202313084"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""5905-36-2"", ""2678535-66-3""], ""pro_cas"": [""2781067-62-5""], ""rgt_cas"": [""865-48-5""], ""cat_cas"": [""51364-51-3"", ""564483-18-7""], ""sol_cas"": [""108-88-3""], ""notes"": [""Buchwald-Hartwig coupling""]}}"	"[""5905-36-2"", ""2678535-66-3""]"	"[""2781067-62-5""]"	"[""865-48-5""]"	"[""Tris(dibenzylideneacetone)dipalladium""]"	"[""108-88-3""]"
31-172-CAS-23125330	Buchwald	"[""Palladium chloride|7647-10-1""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Cesium carbonate|534-17-8"", ""Oxygen|7782-44-7""]"	"[""BASE"", ""OX""]"	"[""Dimethyl sulfoxide|67-68-5""]"	120.0	24.0	64	NNc1ccccc1 . BrCc1ccccc1Br	c1ccc(-n2cc3ccccc3n2)cc1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Cesium carbonate|534-17-8+Oxygen|7782-44-7/Dimethyl sulfoxide|67-68-5			RCT: 459-59-6 + 2604236-39-5 | PRO: 2604236-53-3 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Cesium carbonate"", ""Oxygen""], ""catalysts"": [""Palladium chloride"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Dimethyl sulfoxide""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23125330"", ""1.1"", ""Reagents: Cesium carbonate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.2"", ""Reagents: Cesium carbonate"", ""Catalysts: Palladium chloride, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.3"", ""rt; 18 h, 120 °C"", ""1.4"", ""Reagents: Oxygen"", ""44. Scheme 44 (1 Reaction)"", ""Hydroaminoalkylation/Buchwald-Hartwig Amination Sequences for the Synthesis of Novel Thieno- or Benzothieno-Annulated Tetrahydropyridines, Tetrahydroazasilines, and Tetrahydroazasilepines"", ""By: Warsitz, Michael; et al"", ""European Journal of Organic Chemistry (2021), 2021(5), 830-849."", ""10.1002/ejoc.202001523"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""459-59-6"", ""2604236-39-5""], ""pro_cas"": [""2604236-53-3""], ""rgt_cas"": [""534-17-8"", ""7782-44-7""], ""cat_cas"": [""7647-10-1"", ""131274-22-1""], ""sol_cas"": [""67-68-5""], ""notes"": [""regioselective, solution from stage 1 added in stage 3, sealed vials stages 1 and 2, tandem N-benzylation/Buchwald-Hartwig N-arylation reaction, aerial oxidation during product isolation - stage 4, alternative preparation shownoptimization study (palladium catalyst, ligand, catalyst/ligand loadings, base, solvent, temperature, stoichiometry, procedure, time), sealed tube used (stage 3)""]}}"	"[""459-59-6"", ""2604236-39-5""]"	"[""2604236-53-3""]"	"[""534-17-8"", ""7782-44-7""]"	"[""Palladium chloride""]"	"[""67-68-5""]"
31-172-CAS-23125952	Buchwald	"[""Palladium chloride|7647-10-1""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Cesium carbonate|534-17-8"", ""Oxygen|7782-44-7""]"	"[""BASE"", ""OX""]"	"[""Dimethyl sulfoxide|67-68-5""]"	120.0	24.0	68	NNc1ccc(F)cc1 . BrCc1ccccc1Br	Fc1ccc(-n2cc3ccccc3n2)cc1	Organic Letters (2022), 24(20), 3736-3740. | Scattolin, Thomas; et al | Organic Letters (2022), 24(20), 3736-3740.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Cesium carbonate|534-17-8+Oxygen|7782-44-7/Dimethyl sulfoxide|67-68-5			RCT: 1126-09-6 + 31575-75-4 | PRO: 2941328-13-6 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"{""txt"": {""title"": ""Organic Letters (2022), 24(20), 3736-3740."", ""authors"": ""Scattolin, Thomas; et al"", ""citation"": ""Organic Letters (2022), 24(20), 3736-3740."", ""reagents"": [""Cesium carbonate"", ""Oxygen""], ""catalysts"": [""Palladium chloride"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Dimethyl sulfoxide""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23125952"", ""1.1"", ""Reagents: Cesium carbonate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.2"", ""Reagents: Cesium carbonate"", ""Catalysts: Palladium chloride, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.3"", ""rt; 18 h, 120 °C"", ""1.4"", ""Reagents: Oxygen"", ""446. Scheme 446 (1 Reaction)"", ""Functionalization of 2,4-Dichloropyrimidines by 2,2,6,6-Tetramethylpiperidyl Zinc Base Enables Modular Synthesis of Antimalarial Diaminopyrimidine P218 and Analogues"", ""By: Meirelles, Matheus A.; et al"", ""Journal of Organic Chemistry (2023), 88(13), 9475-9487."", ""10.1021/acs.joc.3c00500"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""1126-09-6"", ""31575-75-4""], ""pro_cas"": [""2941328-13-6""], ""rgt_cas"": [""534-17-8"", ""7782-44-7""], ""cat_cas"": [""7647-10-1"", ""131274-22-1""], ""sol_cas"": [""67-68-5""], ""notes"": [""regioselective, solution from stage 1 added in stage 3, sealed vials stages 1 and 2, tandem N-benzylation/Buchwald-Hartwig N-arylation reaction, aerial oxidation during product isolation - stage 4, sealed tube used (stage 3)""]}}"	"[""1126-09-6"", ""31575-75-4""]"	"[""2941328-13-6""]"	"[""534-17-8"", ""7782-44-7""]"	"[""Palladium chloride""]"	"[""67-68-5""]"
31-172-CAS-23126928	Buchwald	"[""Palladium chloride|7647-10-1""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Cesium carbonate|534-17-8"", ""Oxygen|7782-44-7""]"	"[""BASE"", ""OX""]"	"[""Dimethyl sulfoxide|67-68-5""]"	120.0	24.0	50	NNc1cccc(F)c1 . BrCc1ccccc1Br	Fc1cccc(-n2cc3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Cesium carbonate|534-17-8+Oxygen|7782-44-7/Dimethyl sulfoxide|67-68-5			RCT: 74572-04-6 + 3038299-18-9 | PRO: 2770104-92-0 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Cesium carbonate"", ""Oxygen""], ""catalysts"": [""Palladium chloride"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Dimethyl sulfoxide""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23126928"", ""1.1"", ""Reagents: Cesium carbonate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.2"", ""Reagents: Cesium carbonate"", ""Catalysts: Palladium chloride, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.3"", ""rt; 18 h, 120 °C"", ""1.4"", ""Reagents: Oxygen"", ""321. Scheme 321 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Electrochemical Azo-free Mitsunobu-type Reaction"", ""By: Guo, Quanping; et al"", ""Angewandte Chemie, International Edition (2024), 63(20), e202402878."", ""10.1002/anie.202402878"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""74572-04-6"", ""3038299-18-9""], ""pro_cas"": [""2770104-92-0""], ""rgt_cas"": [""534-17-8"", ""7782-44-7""], ""cat_cas"": [""7647-10-1"", ""131274-22-1""], ""sol_cas"": [""67-68-5""], ""notes"": [""regioselective, solution from stage 1 added in stage 3, sealed vials stages 1 and 2, tandem N-benzylation/Buchwald-Hartwig N-arylation reaction, aerial oxidation during product isolation - stage 4, sealed tube used (stage 3)""]}}"	"[""74572-04-6"", ""3038299-18-9""]"	"[""2770104-92-0""]"	"[""534-17-8"", ""7782-44-7""]"	"[""Palladium chloride""]"	"[""67-68-5""]"
31-172-CAS-23127102	Buchwald	"[""Palladium chloride|7647-10-1""]"	"[""Pd""]"	"[""Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1""]"	"[""Cesium carbonate|534-17-8"", ""Oxygen|7782-44-7""]"	"[""BASE"", ""OX""]"	"[""Dimethyl sulfoxide|67-68-5""]"	120.0	24.0	62	Cc1cccc(NN)c1 . BrCc1ccccc1Br	Cc1cccc(-n2cc3ccccc3n2)c1	Journal of the American Chemical Society (2024), 146(48), 33035-33047. | Raguram, Elaine Reichert; et al | Journal of the American Chemical Society (2024), 146(48), 33035-33047.	Pd/Tri-tert-butylphosphonium tetrafluoroborate|131274-22-1/Cesium carbonate|534-17-8+Oxygen|7782-44-7/Dimethyl sulfoxide|67-68-5			RCT: 124-40-3 + 3080715-69-8 | PRO: 3080715-72-3 | RGT: 534-17-8 + 7782-44-7 | CAT: 7647-10-1 + 131274-22-1 | SOL: 67-68-5	"{""txt"": {""title"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""authors"": ""Raguram, Elaine Reichert; et al"", ""citation"": ""Journal of the American Chemical Society (2024), 146(48), 33035-33047."", ""reagents"": [""Cesium carbonate"", ""Oxygen""], ""catalysts"": [""Palladium chloride"", ""Tri-tert-butylphosphonium tetrafluoroborate""], ""solvents"": [""Dimethyl sulfoxide""], ""base_from_txt"": null, ""all_condition_lines"": [""CAS Reaction Number: 31-172-CAS-23127102"", ""1.1"", ""Reagents: Cesium carbonate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.2"", ""Reagents: Cesium carbonate"", ""Catalysts: Palladium chloride, Tri-tert-butylphosphonium tetrafluoroborate"", ""Solvents: Dimethyl sulfoxide; 3 h, rt"", ""1.3"", ""rt; 18 h, 120 °C"", ""1.4"", ""Reagents: Oxygen"", ""88. Scheme 88 (1 Reaction)"", ""Absolute stereochemistry shown"", ""Absolute stereochemistry shown"", ""Fragment-Based Discovery of a Series of Allosteric-Binding Site Modulators of β-Glucocerebrosidase"", ""By: Palmer, Nick; et al"", ""Journal of Medicinal Chemistry (2024), 67(13), 11168-11181."", ""10.1021/acs.jmedchem.4c00702"", ""View All Sources in CAS SciFinder""]}, ""rdf"": {""rct_cas"": [""124-40-3"", ""3080715-69-8""], ""pro_cas"": [""3080715-72-3""], ""rgt_cas"": [""534-17-8"", ""7782-44-7""], ""cat_cas"": [""7647-10-1"", ""131274-22-1""], ""sol_cas"": [""67-68-5""], ""notes"": [""regioselective, solution from stage 1 added in stage 3, sealed vials stages 1 and 2, tandem N-benzylation/Buchwald-Hartwig N-arylation reaction, aerial oxidation during product isolation - stage 4, sealed tube used (stage 3)""]}}"	"[""124-40-3"", ""3080715-69-8""]"	"[""3080715-72-3""]"	"[""534-17-8"", ""7782-44-7""]"	"[""Palladium chloride""]"	"[""67-68-5""]"
