Rank,Catalyst_combination_CAS,Common_identification,Hits
1,7681-65-4,CuI,371
2,147-85-3 + 7681-65-4,L-proline + CuI,109
3,66-71-7 + 7681-65-4,"1,10-phenanthroline + CuI",99
4,110-70-3 + 7681-65-4,"N,N'-Dimethylethylenediamine + CuI",85
5,7787-70-4,CuBr,74
6,7440-50-8,Cu (powder),58
7,1317-39-1,Cu2O,53
9,2903-48-2 + 7681-65-4,"2,6-Dimethylanilino(oxo)acetic acid + CuI",42
10,110-18-9 + 7681-65-4,TMEDA + CuI,41
12,1317-38-0,CuO,40
14,51-35-4 + 7681-65-4,L-Hydroxyproline + CuI,36
15,1127-45-3 + 7787-70-4,8-Hydroxyquinoline N-oxide + CuBr,36
16,1121-22-8 + 7681-65-4,"trans-1,2-diaminocyclohexane + CuI",33
17,1118-71-4 + 7681-65-4,"2,2,6,6-Tetramethyl-3,5-heptanedione + CuI",33
18,67579-81-1 + 7681-65-4,"trans-N,N'-dimethyl-1,2-CHD diamine + CuI",32
19,110-70-3 + 1317-39-1,"N,N'-Dimethylethylenediamine + Cu2O",32
20,1317-39-1 + 92149-07-0,"Cu2O + 4,7-Dimethoxy-1,10-phenanthroline",30
22,39207-65-3 + 7681-65-4,2-Isobutyrylcyclohexanone + CuI,28
23,106129-86-6 + 7681-65-4,"6,6'-Dimethyl-2,2'-bipyridine + CuI",27
26,614-65-3 + 7681-65-4,"N,N-dimethylglycine + CuI",24
27,107-15-3 + 7681-65-4,Ethylenediamine + CuI,22
28,1317-39-1 + 66-71-7,"Cu2O + 1,10-phenanthroline",21
29,30754-24-6 + 7681-65-4,"2,2'-Bipyridine + CuI",21
30,25322-68-3 + 7681-65-4,Polypropylene glycol + CuI,20
31,1655-07-8 + 7787-70-4,Ethyl 2-oxocyclohexanecarboxylate + CuBr,19
32,602-09-5 + 7681-65-4,BINOL + CuI,19
34,1118-68-9 + 7681-65-4,"N,N-Dimethylglycine + CuI",18
35,107-97-1 + 7681-65-4,2-Methylaminoethanoic acid + CuI,18
