Rank,Catalyst_combination_CAS,Common_identification,Hits
1,7681-65-4,CuI,371
2,147-85-3 + 7681-65-4,L‑proline + CuI,109
3,66-71-7 + 7681-65-4,"1,10‑phenanthroline + CuI",99
4,110-70-3 + 7681-65-4,"1,2‑diaminopropane? + CuI",85
5,7787-70-4,CuBr,74
6,7440-50-8,Cu (powder),58
7,1317-39-1,Cu₂O,53
8,12304-65-3 + 7440-50-8,Cu₃(PO₄)₂ + Cu (powder),42
9,2903-48-2 + 7681-65-4,"2,6‑Dimethylanilino(oxo)acetic acid + CuI",42
10,110-18-9 + 7681-65-4,TMEDA + CuI,41
11,1148148-01-9 + 7681-65-4,? + CuI,41
12,1317-38-0,CuO,40
13,1317-39-1 + 7440-50-8,Cu₂O + Cu (powder),39
14,51-35-4 + 7681-65-4,? + CuI,36
15,1127-45-3 + 7787-70-4,8‑Hydroxyquinoline N‑oxide + CuBr,36
16,1121-22-8 + 7681-65-4,"trans‑1,2‑diaminocyclohexane + CuI",33
17,1118-71-4 + 7681-65-4,? + CuI,33
18,67579-81-1 + 7681-65-4,"trans‑N,N′‑dimethyl‑1,2‑CHD diamine + CuI",32
19,110-70-3 + 1317-39-1,"1,2‑diaminopropane? + Cu₂O",32
20,1317-39-1 + 92149-07-0,Cu₂O + ?,30
21,34946-82-2,"Phenanthroline‑5,6‑dione",29
22,39207-65-3 + 7681-65-4,2‑Isobutyrylcyclohexanone + CuI,28
23,106129-86-6 + 7681-65-4,"6,6′‑Dimethyl‑2,2′‑bipyridine + CuI",27
24,7681-65-4 + 910574-55-9,CuI + XPhos‑Pd‑G2 type ligand,25
25,1146576-61-5 + 7787-70-4,BrettPhos‑type ligand + CuBr,25
26,614-65-3 + 7681-65-4,"N,N‑dimethylglycine + CuI",24
27,107-15-3 + 7681-65-4,Ethylenediamine + CuI,22
28,1317-39-1 + 66-71-7,"Cu₂O + 1,10‑phenanthroline",21
29,30754-24-6 + 7681-65-4,"2,2′‑Bipyridine + CuI",21
30,25322-68-3 + 7681-65-4,Polypropylene glycol + CuI,20
31,1655-07-8 + 7787-70-4,Ethyl 2‑oxocyclohexanecarboxylate + CuBr,19
32,602-09-5 + 7681-65-4,BINOL + CuI,19
33,1317-38-0 + 602-09-5 + 7705-08-0,CuO + BINOL + ?,19
34,1118-68-9 + 7681-65-4,? + CuI,18
35,107-97-1 + 7681-65-4,? + CuI,18
36,1317-39-1 + 25322-68-3 + 92149-07-0,Cu₂O + Polypropylene glycol + ?,17
37,6640-50-2 + 7787-70-4,? + CuBr,17
38,1317-38-0 + 7440-50-8,CuO + Cu (powder),15
39,500734-45-2 + 7681-65-4,? + CuI,15
40,7758-98-7,CuSO₄,14
41,3949-36-8 + 7681-65-4,? + CuI,14
42,497-25-6 + 7681-65-4,? + CuI,13
43,1317-38-0 + 370-81-0,CuO + ?,12
44,6907-68-2 + 7681-65-4,? + CuI,11
45,104-15-4 + 7681-65-4,? + CuI,11
46,1072906-76-3 + 7681-65-4,? + CuI,10
47,7681-65-4 + 77-85-0,CuI + ?,9
48,694-83-7 + 7681-65-4,? + CuI,9
49,634-97-9 + 7681-65-4,? + CuI,9
50,56-09-7 + 7787-70-4,? + CuBr,8
