ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS,RCTName,PROName,RGTName,CATName,SOLName
31-614-CAS-35485659,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.367,76,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1cccc(F)c1,Cc1nn(-c2ccccc2)c2c1C(c1cccc(F)c1)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 111-49-9 + 32779-38-7 | PRO: 1599583-79-5 | CAT: 142-71-2 + 2903480-90-8,"[""111-49-9"", ""32779-38-7""]","[""1599583-79-5""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485668,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.317,82,NNc1ccccc1 . CCOC(=O)CC(C)=O . O=Cc1ccccc1Cl . N#CCC#N,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1Cl)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 108-86-1 + 1547036-10-1 | PRO: 3038178-93-4 | CAT: 142-71-2 + 2903480-90-8,"[""108-86-1"", ""1547036-10-1""]","[""3038178-93-4""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485670,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.333,78,NNc1ccccc1 . CCOC(=O)CC(C)=O . N#CCC#N . O=Cc1ccc(Br)cc1,Cc1nn(-c2ccccc2)c2c1C(c1ccc(Br)cc1)C(C#N)=C(N)O2,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 100-63-0 + 104-88-1 + 109-77-3 | PRO: 111510-09-9 | CAT: 142-71-2 + 2903480-90-8,"[""100-63-0"", ""104-88-1"", ""109-77-3""]","[""111510-09-9""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485672,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.25,76,NNc1ccccc1 . N#CCC#N . O=Cc1ccc(F)cc1,N#Cc1c(-c2ccc(F)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 120-72-9 + 352-34-1 | PRO: 138900-16-0 | CAT: 142-71-2 + 2903480-90-8,"[""120-72-9"", ""352-34-1""]","[""138900-16-0""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485673,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.15,87,NNc1ccccc1 . N#CCC#N . O=Cc1ccc(Br)cc1,N#Cc1c(-c2ccc(Br)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 106-37-6 + 288-32-4 | PRO: 25372-07-0 | CAT: 142-71-2 + 2903480-90-8,"[""106-37-6"", ""Unresolved CAS 288-32-4""]","[""25372-07-0""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35485675,Ullmann,"[""Cupric acetate""]","[""Cu(II)""]","[""1"", ""3"", ""5-Triazine-2"", ""4"", ""6-triamine"", ""N2"", ""N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-""]",[],[],[],65,0.117,78,NNc1ccccc1 . O=Cc1ccc(Cl)cc1 . N#CCC#N,N#Cc1c(-c2ccc(Cl)cc2)nn(-c2ccccc2)c1N,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu(II)/1+3+4+5-Triazine-2+6-triamine+N2+N4-bis(2-thienylmethylene)-N6-[3-(triethoxysilyl)propyl]-/none/none,9f01cb00,9f01cb00,RCT: 108-86-1 + 288-32-4 | PRO: 7164-98-9 | CAT: 142-71-2 + 2903480-90-8,"[""108-86-1"", ""Unresolved CAS 288-32-4""]","[""7164-98-9""]",[],"[""Copper(II) acetate (Cu(OAc)2)"", ""Unresolved CAS 2903480-90-8""]",[]
31-614-CAS-35838761,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100,54,95,c1c[nH]cn1 . Ic1ccccc1,c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 1003-29-8 + 591-50-4 | PRO: 30186-39-1 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""1003-29-8"", ""591-50-4""]","[""30186-39-1""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838763,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100,2,86,C1COCCN1 . Ic1ccccc1,c1ccc(N2CCOCC2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 104-92-7 + 288-32-4 | PRO: 10040-95-6 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""104-92-7"", ""Unresolved CAS 288-32-4""]","[""10040-95-6""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838764,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100,1,91,c1c[nH]cn1 . O=[N+]([O-])c1ccc(I)cc1,O=[N+]([O-])c1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 552-89-6 + 15310-01-7 | PRO: 72367-19-2 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""552-89-6"", ""15310-01-7""]","[""72367-19-2""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
31-614-CAS-35838765,Ullmann,"[""Copper oxide (Cu2O)"", ""Copper iron oxide (CuFe2O4)""]","[""Cu""]","[""Polyaniline""]","[""KOH""]","[""BASE""]","[""DMSO""]",100,6,82,c1c[nH]cn1 . COc1ccc(I)cc1,COc1ccc(-n2ccnc2)cc1,"Organic Letters (2024), 26(5), 1046-1050. | Li, Jianan; et al | Organic Letters (2024), 26(5), 1046-1050.",Cu/Polyaniline/KOH/DMSO,e02ee0d6,e02ee0d6,RCT: 626-55-1 + 2761091-68-1 | PRO: 2761091-81-8 | RGT: 1310-58-3 | CAT: 1317-39-1 + 12018-79-0 + 25233-30-1 | SOL: 67-68-5,"[""626-55-1"", ""2761091-68-1""]","[""2761091-81-8""]","[""Potassium hydroxide (KOH)""]","[""Copper(I) oxide (Cu2O)"", ""Unresolved CAS 12018-79-0"", ""Unresolved CAS 25233-30-1""]","[""DMSO""]"
